drug1,drug2,drug1_class,drug2_class,interaction_type,mechanism,side_effect_score,severity,primary_drug,alternative_drug,alternative_class
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
rifampicin,oral_contraceptive,antibiotic,hormonal,reduced_efficacy,enzyme_induction,9,high,rifampicin,barrier_method,non_hormonal
phenytoin,warfarin,antiepileptic,anticoagulant,metabolic_interference,enzyme_induction,8,high,phenytoin,valproate,antiepileptic
theophylline,erythromycin,bronchodilator,antibiotic,toxicity_risk,enzyme_inhibition,8,moderate,theophylline,salbutamol,bronchodilator
amlodipine,simvastatin,calcium_channel_blocker,statin,metabolic_interference,enzyme_inhibition,7,moderate,simvastatin,atorvastatin,statin
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
rifampicin,oral_contraceptive,antibiotic,hormonal,reduced_efficacy,enzyme_induction,9,high,rifampicin,barrier_method,non_hormonal
phenytoin,warfarin,antiepileptic,anticoagulant,metabolic_interference,enzyme_induction,8,high,phenytoin,valproate,antiepileptic
theophylline,erythromycin,bronchodilator,antibiotic,toxicity_risk,enzyme_inhibition,8,moderate,theophylline,salbutamol,bronchodilator
amlodipine,simvastatin,calcium_channel_blocker,statin,metabolic_interference,enzyme_inhibition,7,moderate,simvastatin,atorvastatin,statin
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
rifampicin,oral_contraceptive,antibiotic,hormonal,reduced_efficacy,enzyme_induction,9,high,rifampicin,barrier_method,non_hormonal
phenytoin,warfarin,antiepileptic,anticoagulant,metabolic_interference,enzyme_induction,8,high,phenytoin,valproate,antiepileptic
theophylline,erythromycin,bronchodilator,antibiotic,toxicity_risk,enzyme_inhibition,8,moderate,theophylline,salbutamol,bronchodilator
amlodipine,simvastatin,calcium_channel_blocker,statin,metabolic_interference,enzyme_inhibition,7,moderate,simvastatin,atorvastatin,statin
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
rifampicin,oral_contraceptive,antibiotic,hormonal,reduced_efficacy,enzyme_induction,9,high,rifampicin,barrier_method,non_hormonal
phenytoin,warfarin,antiepileptic,anticoagulant,metabolic_interference,enzyme_induction,8,high,phenytoin,valproate,antiepileptic
theophylline,erythromycin,bronchodilator,antibiotic,toxicity_risk,enzyme_inhibition,8,moderate,theophylline,salbutamol,bronchodilator
amlodipine,simvastatin,calcium_channel_blocker,statin,metabolic_interference,enzyme_inhibition,7,moderate,simvastatin,atorvastatin,statin
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
rifampicin,oral_contraceptive,antibiotic,hormonal,reduced_efficacy,enzyme_induction,9,high,rifampicin,barrier_method,non_hormonal
phenytoin,warfarin,antiepileptic,anticoagulant,metabolic_interference,enzyme_induction,8,high,phenytoin,valproate,antiepileptic
theophylline,erythromycin,bronchodilator,antibiotic,toxicity_risk,enzyme_inhibition,8,moderate,theophylline,salbutamol,bronchodilator
amlodipine,simvastatin,calcium_channel_blocker,statin,metabolic_interference,enzyme_inhibition,7,moderate,simvastatin,atorvastatin,statin
warfarin,aspirin,anticoagulant,analgesic,bleeding_risk,additive_effect,10,high,warfarin,clopidogrel,anticoagulant
ibuprofen,aspirin,analgesic,analgesic,bleeding_risk,additive_effect,9,high,ibuprofen,paracetamol,analgesic
paracetamol,meftal,analgesic,analgesic,duplicate_therapy,additive_effect,7,moderate,meftal,paracetamol,analgesic
metformin,insulin,antidiabetic,antidiabetic,hypoglycemia_risk,additive_effect,8,moderate,insulin,glimepiride,antidiabetic
atorvastatin,clarithromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,atorvastatin,rosuvastatin,statin
simvastatin,erythromycin,statin,antibiotic,metabolic_interference,enzyme_inhibition,9,high,simvastatin,pravastatin,statin
digoxin,furosemide,cardiac_glycoside,diuretic,electrolyte_imbalance,additive_effect,9,high,digoxin,metoprolol,beta_blocker
lisinopril,spironolactone,ace_inhibitor,diuretic,hyperkalemia,additive_effect,8,moderate,spironolactone,furosemide,diuretic
losartan,potassium_supplement,arb,supplement,hyperkalemia,additive_effect,8,moderate,losartan,amlodipine,calcium_channel_blocker
fluoxetine,tramadol,antidepressant,analgesic,serotonin_syndrome,additive_effect,10,high,tramadol,paracetamol,analgesic
ciprofloxacin,warfarin,antibiotic,anticoagulant,bleeding_risk,enzyme_inhibition,9,high,warfarin,heparin,anticoagulant
